Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Order Date,Loyalty_Score,Quantity,Unit_Price,Total_Price,Age_Group
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,2025-04-20 12:00:00,0.2545454545454545,1,53.0,53.0,51–70
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,2025-04-20 12:00:00,0.10526315789473684,1,64.0,64.0,18–25
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2025-04-21 12:00:00,0.46,1,73.0,73.0,36–50
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,2025-04-22 12:00:00,2.3333333333333335,1,90.0,90.0,18–25
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,2025-04-23 12:00:00,0.6888888888888889,1,49.0,49.0,36–50
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,2025-04-24 12:00:00,0.30434782608695654,1,20.0,20.0,36–50
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,2025-04-25 12:00:00,0.7777777777777778,1,85.0,85.0,51–70
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,2025-04-26 12:00:00,0.7037037037037037,1,34.0,34.0,26–35
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,2025-04-27 12:00:00,0.3076923076923077,1,97.0,97.0,26–35
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2025-04-28 12:00:00,0.07017543859649122,1,31.0,31.0,51–70
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2025-04-29 12:00:00,0.49056603773584906,1,34.0,34.0,51–70
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,2025-04-30 12:00:00,0.3333333333333333,1,68.0,68.0,26–35
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,2025-05-01 12:00:00,0.6065573770491803,1,72.0,72.0,51–70
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,2025-05-02 12:00:00,0.47692307692307695,1,51.0,51.0,51–70
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2025-05-03 12:00:00,0.53125,1,53.0,53.0,51–70
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,2025-05-04 12:00:00,0.125,1,81.0,81.0,51–70
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,2025-05-05 12:00:00,1.76,1,36.0,36.0,18–25
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2025-05-06 12:00:00,0.6792452830188679,1,38.0,38.0,51–70
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,2025-05-07 12:00:00,0.3269230769230769,1,48.0,48.0,51–70
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,2025-05-08 12:00:00,0.696969696969697,1,90.0,90.0,51–70
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,2025-05-09 12:00:00,2.380952380952381,1,51.0,51.0,18–25
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,2025-05-10 12:00:00,0.7096774193548387,1,62.0,62.0,26–35
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,2025-05-11 12:00:00,0.5714285714285714,1,37.0,37.0,51–70
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,2025-05-12 12:00:00,1.2903225806451613,1,88.0,88.0,26–35
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,2025-05-13 12:00:00,0.8888888888888888,1,22.0,22.0,<18
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,2025-05-14 12:00:00,0.7777777777777778,1,25.0,25.0,<18
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,2025-05-15 12:00:00,0.34210526315789475,1,20.0,20.0,36–50
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,2025-05-16 12:00:00,0.125,1,56.0,56.0,51–70
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,2025-05-17 12:00:00,0.7592592592592593,1,94.0,94.0,51–70
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,2025-05-18 12:00:00,0.45161290322580644,1,48.0,48.0,26–35
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,2025-05-19 12:00:00,0.2807017543859649,1,31.0,31.0,51–70
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,2025-05-20 12:00:00,1.3636363636363635,1,79.0,79.0,26–35
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,2025-05-21 12:00:00,1.0277777777777777,1,67.0,67.0,36–50
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2025-05-22 12:00:00,0.8333333333333334,1,38.0,38.0,51–70
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,2025-05-23 12:00:00,1.0555555555555556,1,91.0,91.0,36–50
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,2025-05-24 12:00:00,0.8888888888888888,1,33.0,33.0,51–70
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,2025-05-25 12:00:00,1.2571428571428571,1,69.0,69.0,26–35
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,2025-05-26 12:00:00,0.2857142857142857,1,45.0,45.0,26–35
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2025-05-27 12:00:00,1.5172413793103448,1,37.0,37.0,26–35
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,2025-05-28 12:00:00,0.2571428571428571,1,60.0,60.0,51–70
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2025-05-29 12:00:00,0.4492753623188406,1,76.0,76.0,51–70
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,2025-05-30 12:00:00,0.5970149253731343,1,39.0,39.0,51–70
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,2025-05-31 12:00:00,0.75,1,100.0,100.0,18–25
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,2025-06-01 12:00:00,0.76,1,69.0,69.0,18–25
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2025-06-02 12:00:00,1.1538461538461537,1,53.0,53.0,36–50
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,2025-06-03 12:00:00,0.5,1,21.0,21.0,36–50
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2025-06-04 12:00:00,0.7894736842105263,1,43.0,43.0,51–70
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,2025-06-05 12:00:00,0.6545454545454545,1,54.0,54.0,51–70
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,2025-06-06 12:00:00,0.9047619047619048,1,55.0,55.0,36–50
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,2025-06-07 12:00:00,0.5,1,30.0,30.0,51–70
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,2025-06-08 12:00:00,0.7959183673469388,1,28.0,28.0,36–50
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2025-06-09 12:00:00,0.11864406779661017,1,59.0,59.0,51–70
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,2025-06-10 12:00:00,0.6190476190476191,1,20.0,20.0,36–50
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,2025-06-11 12:00:00,1.206896551724138,1,24.0,24.0,26–35
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2025-06-12 12:00:00,0.7446808510638298,1,94.0,94.0,36–50
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2025-06-13 12:00:00,1.225,1,28.0,28.0,36–50
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2025-06-14 12:00:00,1.1219512195121952,1,73.0,73.0,36–50
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,2025-06-15 12:00:00,0.8095238095238095,1,64.0,64.0,18–25
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,2025-06-16 12:00:00,0.42028985507246375,1,54.0,54.0,51–70
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,2025-06-17 12:00:00,0.06349206349206349,1,79.0,79.0,51–70
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,2025-06-18 12:00:00,0.34,1,37.0,37.0,36–50
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,2025-06-19 12:00:00,0.38181818181818183,1,68.0,68.0,51–70
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,2025-06-20 12:00:00,1.0333333333333334,1,21.0,21.0,26–35
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,2025-06-21 12:00:00,1.303030303030303,1,79.0,79.0,26–35
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,2025-06-22 12:00:00,0.27692307692307694,1,83.0,83.0,51–70
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2025-06-23 12:00:00,0.676923076923077,1,36.0,36.0,51–70
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,2025-06-24 12:00:00,0.0967741935483871,1,94.0,94.0,26–35
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,2025-06-25 12:00:00,1.0888888888888888,1,33.0,33.0,36–50
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2025-06-26 12:00:00,0.3684210526315789,1,46.0,46.0,51–70
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,2025-06-27 12:00:00,0.10416666666666667,1,70.0,70.0,36–50
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,2025-06-28 12:00:00,1.4545454545454546,1,29.0,29.0,18–25
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,2025-06-29 12:00:00,0.9444444444444444,1,48.0,48.0,36–50
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,2025-06-30 12:00:00,1.1666666666666667,1,26.0,26.0,<18
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,2025-07-01 12:00:00,0.8958333333333334,1,85.0,85.0,36–50
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,2025-07-02 12:00:00,0.061224489795918366,1,58.0,58.0,36–50
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,2025-07-03 12:00:00,0.328125,1,85.0,85.0,51–70
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,2025-07-04 12:00:00,0.64,1,43.0,43.0,36–50
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,2025-07-05 12:00:00,1.6363636363636365,1,53.0,53.0,18–25
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2025-07-06 12:00:00,1.0,1,91.0,91.0,36–50
